1,43.6,1002.4617,-5.0,1.44
2,51.2,1083.4345,0.0,1.42
3,44.4,1046.6458,6.0,1.37
4,36.72,1046.5227,7.0,1.47
5,50.96,1038.7891,17.0,1.28
6,48.92,1045.8821,-17.0,1.25
7,39.24,1050.7498,33.0,1.28
8,49.64,1008.7375,13.0,1.4
9,51.44,1031.4627,-4.0,1.33
10,46.32,996.9674,20.0,1.98
11,48.92,1018.9491,26.0,1.76
12,53.12,1050.8213,-7.0,1.69
13,50.92,1026.3094,10.0,1.55
14,50.0,1013.779,-1.0,1.7
15,39.36,1026.1901,49.0,1.33
16,49.8,1035.9328,26.0,1.33
17,48.8,1026.9814,0.0,1.41
18,55.2,1003.052,7.0,1.37
19,43.8,1007.599,12.0,1.41
20,48.04,1051.3595,18.0,1.25
21,50.32,1027.5705,6.0,1.41
22,46.96,1002.2728,22.0,1.44
23,53.72,1102.2546,-1.0,1.33
24,42.24,1013.6259,21.0,1.34
25,49.48,1062.1037,22.0,1.45
26,36.08,1042.4001,8.0,1.42
27,56.8,1058.3168,-8.0,1.28
28,33.08,1021.4258,22.0,1.36
29,54.72,1063.3788,12.0,1.55
